"Sex","Age","Ethnicity","Rate"
"M",2,"BLC",0.000183306
"M",3,"BLC",0.000134755
"M",4,"BLC",0.000201012
"M",5,"BLC",0.000263933
"M",6,"BLC",0.000268135
"M",7,"BLC",0.000266072
"M",8,"BLC",0.000195316
"M",9,"BLC",0.00013002
"M",10,"BLC",0.000119917
"M",11,"BLC",0.000128195
"M",12,"BLC",0.000143876
"M",13,"BLC",0.00015954
"M",14,"BLC",0.000182218
"M",15,"BLC",0.000212582
"M",16,"BLC",0.000315782
"M",17,"BLC",0.000473932
"M",18,"BLC",0.00051731
"M",19,"BLC",0.000459328
"M",20,"BLC",0.000440186
"M",21,"BLC",0.000444386
"M",22,"BLC",0.000391759
"M",23,"BLC",0.000415629
"M",24,"BLC",0.000401395
"M",25,"BLC",0.000304748
"M",26,"BLC",0.000323271
"M",27,"BLC",0.000354301
"M",28,"BLC",0.000378336
"M",29,"BLC",0.000423394
"M",30,"BLC",0.00046954
"M",31,"BLC",0.000506085
"M",32,"BLC",0.000590489
"M",33,"BLC",0.000679774
"M",34,"BLC",0.000792927
"M",35,"BLC",0.000894641
"M",36,"BLC",0.000918144
"M",37,"BLC",0.001008956
"M",38,"BLC",0.001050593
"M",39,"BLC",0.001246238
"M",40,"BLC",0.001419148
"M",41,"BLC",0.00148627
"M",42,"BLC",0.001640453
"M",43,"BLC",0.001668859
"M",44,"BLC",0.001984035
"M",45,"BLC",0.00239752
"M",46,"BLC",0.002603843
"M",47,"BLC",0.002965234
"M",48,"BLC",0.003378336
"M",49,"BLC",0.00333408
"M",50,"BLC",0.003613837
"M",51,"BLC",0.004360562
"M",52,"BLC",0.004961882
"M",53,"BLC",0.00599749
"M",54,"BLC",0.007154607
"M",55,"BLC",0.008048951
"M",56,"BLC",0.00910243
"M",57,"BLC",0.010024398
"M",58,"BLC",0.01032427
"M",59,"BLC",0.01123476
"M",60,"BLC",0.013005518
"M",61,"BLC",0.014382164
"M",62,"BLC",0.015048274
"M",63,"BLC",0.014945028
"M",64,"BLC",0.016839677
"M",65,"BLC",0.020100309
"M",66,"BLC",0.021961125
"M",67,"BLC",0.024322454
"M",68,"BLC",0.029178639
"M",69,"BLC",0.032356114
"M",70,"BLC",0.032809718
"M",71,"BLC",0.034535185
"M",72,"BLC",0.036803619
"M",73,"BLC",0.040593197
"M",74,"BLC",0.043776756
"M",75,"BLC",0.045989276
"M",76,"BLC",0.050893531
"M",77,"BLC",0.056460106
"M",78,"BLC",0.062043785
"M",79,"BLC",0.061321424
"M",80,"BLC",0.067964099
"M",81,"BLC",0.075326346
"M",82,"BLC",0.083486111
